muni_j,name_j,muni_vote,party_j,ken,kucode
札幌市中央区,船橋　利実,53200,自由民主党,1,1
札幌市北区(1区),船橋　利実,1577,自由民主党,1,1
札幌市南区,船橋　利実,36229,自由民主党,1,1
札幌市西区（1区）,船橋　利実,29981,自由民主党,1,1
札幌市中央区,道下　大樹,59879,立憲民主党,1,1
札幌市北区(1区),道下　大樹,1808,立憲民主党,1,1
札幌市南区,道下　大樹,38906,立憲民主党,1,1
札幌市西区（1区）,道下　大樹,38517,立憲民主党,1,1
札幌市北区（2区）,松木　けんこう,40995,希望の党,1,2
札幌市東区,松木　けんこう,33430,希望の党,1,2
札幌市北区（2区）,こわだ　康文,11195,日本維新の会,1,2
札幌市東区,こわだ　康文,10448,日本維新の会,1,2
札幌市北区（2区）,金倉　まさとし,26811,日本共産党,1,2
札幌市東区,金倉　まさとし,25815,日本共産党,1,2
札幌市北区（2区）,よしかわ　貴盛,53706,自由民主党,1,2
札幌市東区,よしかわ　貴盛,51118,自由民主党,1,2
札幌市白石区,荒井　さとし,52128,立憲民主党,1,3
札幌市豊平区,荒井　さとし,56900,立憲民主党,1,3
札幌市清田区,荒井　さとし,32652,立憲民主党,1,3
札幌市白石区,高木　ひろひさ,42818,自由民主党,1,3
札幌市豊平区,高木　ひろひさ,50228,自由民主党,1,3
札幌市清田区,高木　ひろひさ,25915,自由民主党,1,3
札 幌 市 西 区 第（４区）,本多　平直,16819,立憲民主党,1,4
札幌市手稲区,本多　平直,31396,立憲民主党,1,4
小樽市,本多　平直,26023,立憲民主党,1,4
島牧村,本多　平直,294,立憲民主党,1,4
寿都町,本多　平直,527,立憲民主党,1,4
黒松内町,本多　平直,669,立憲民主党,1,4
蘭越町,本多　平直,1180,立憲民主党,1,4
ニセコ町,本多　平直,1077,立憲民主党,1,4
真狩村,本多　平直,400,立憲民主党,1,4
留寿都村,本多　平直,243,立憲民主党,1,4
喜茂別町,本多　平直,500,立憲民主党,1,4
京極町,本多　平直,504,立憲民主党,1,4
倶知安町,本多　平直,2619,立憲民主党,1,4
共和町,本多　平直,1062,立憲民主党,1,4
岩内町,本多　平直,2001,立憲民主党,1,4
泊村,本多　平直,246,立憲民主党,1,4
神恵内村,本多　平直,165,立憲民主党,1,4
積丹町,本多　平直,329,立憲民主党,1,4
古平町,本多　平直,433,立憲民主党,1,4
仁木町,本多　平直,625,立憲民主党,1,4
余市町,本多　平直,3267,立憲民主党,1,4
赤井川村,本多　平直,240,立憲民主党,1,4
札 幌 市 西 区 第（４区）,中村　ひろゆき,17032,自由民主党,1,4
札幌市手稲区,中村　ひろゆき,29754,自由民主党,1,4
小樽市,中村　ひろゆき,26629,自由民主党,1,4
島牧村,中村　ひろゆき,540,自由民主党,1,4
寿都町,中村　ひろゆき,1067,自由民主党,1,4
黒松内町,中村　ひろゆき,904,自由民主党,1,4
蘭越町,中村　ひろゆき,1545,自由民主党,1,4
ニセコ町,中村　ひろゆき,1242,自由民主党,1,4
真狩村,中村　ひろゆき,770,自由民主党,1,4
留寿都村,中村　ひろゆき,570,自由民主党,1,4
喜茂別町,中村　ひろゆき,679,自由民主党,1,4
京極町,中村　ひろゆき,1135,自由民主党,1,4
倶知安町,中村　ひろゆき,4500,自由民主党,1,4
共和町,中村　ひろゆき,2209,自由民主党,1,4
岩内町,中村　ひろゆき,4309,自由民主党,1,4
泊村,中村　ひろゆき,722,自由民主党,1,4
神恵内村,中村　ひろゆき,388,自由民主党,1,4
積丹町,中村　ひろゆき,814,自由民主党,1,4
古平町,中村　ひろゆき,1155,自由民主党,1,4
仁木町,中村　ひろゆき,1238,自由民主党,1,4
余市町,中村　ひろゆき,6470,自由民主党,1,4
赤井川村,中村　ひろゆき,382,自由民主党,1,4
札 幌 市 西 区 第（４区）,高橋　みほ,6662,希望の党,1,4
札幌市手稲区,高橋　みほ,11888,希望の党,1,4
小樽市,高橋　みほ,8403,希望の党,1,4
島牧村,高橋　みほ,91,希望の党,1,4
寿都町,高橋　みほ,133,希望の党,1,4
黒松内町,高橋　みほ,173,希望の党,1,4
蘭越町,高橋　みほ,333,希望の党,1,4
ニセコ町,高橋　みほ,334,希望の党,1,4
真狩村,高橋　みほ,146,希望の党,1,4
留寿都村,高橋　みほ,117,希望の党,1,4
喜茂別町,高橋　みほ,142,希望の党,1,4
京極町,高橋　みほ,188,希望の党,1,4
倶知安町,高橋　みほ,934,希望の党,1,4
共和町,高橋　みほ,296,希望の党,1,4
岩内町,高橋　みほ,707,希望の党,1,4
泊村,高橋　みほ,89,希望の党,1,4
神恵内村,高橋　みほ,55,希望の党,1,4
積丹町,高橋　みほ,98,希望の党,1,4
古平町,高橋　みほ,186,希望の党,1,4
仁木町,高橋　みほ,162,希望の党,1,4
余市町,高橋　みほ,738,希望の党,1,4
赤井川村,高橋　みほ,66,希望の党,1,4
札幌市厚別区,池田　まき,37489,立憲民主党,1,5
江別市,池田　まき,32585,立憲民主党,1,5
千歳市,池田　まき,15512,立憲民主党,1,5
恵庭市,池田　まき,14817,立憲民主党,1,5
北広島市,池田　まき,16563,立憲民主党,1,5
石狩市,池田　まき,14245,立憲民主党,1,5
当別町,池田　まき,4065,立憲民主党,1,5
新篠津村,池田　まき,672,立憲民主党,1,5
札幌市厚別区,森山　よしのり,1948,幸福実現党,1,5
江別市,森山　よしのり,1470,幸福実現党,1,5
千歳市,森山　よしのり,1388,幸福実現党,1,5
恵庭市,森山　よしのり,974,幸福実現党,1,5
北広島市,森山　よしのり,744,幸福実現党,1,5
石狩市,森山　よしのり,865,幸福実現党,1,5
当別町,森山　よしのり,194,幸福実現党,1,5
新篠津村,森山　よしのり,49,幸福実現党,1,5
札幌市厚別区,和田　よしあき,30589,自由民主党,1,5
江別市,和田　よしあき,29711,自由民主党,1,5
千歳市,和田　よしあき,28083,自由民主党,1,5
恵庭市,和田　よしあき,20572,自由民主党,1,5
北広島市,和田　よしあき,13990,自由民主党,1,5
石狩市,和田　よしあき,13399,自由民主党,1,5
当別町,和田　よしあき,5075,自由民主党,1,5
新篠津村,和田　よしあき,1268,自由民主党,1,5
旭川市,今津　ひろし,72804,自由民主党,1,6
士別市,今津　ひろし,3812,自由民主党,1,6
名寄市,今津　ひろし,7879,自由民主党,1,6
富良野市,今津　ひろし,5563,自由民主党,1,6
鷹栖町,今津　ひろし,1587,自由民主党,1,6
東神楽町,今津　ひろし,2031,自由民主党,1,6
当麻町,今津　ひろし,1521,自由民主党,1,6
比布町,今津　ひろし,976,自由民主党,1,6
愛別町,今津　ひろし,926,自由民主党,1,6
上川町,今津　ひろし,880,自由民主党,1,6
東川町,今津　ひろし,1845,自由民主党,1,6
美瑛町,今津　ひろし,2315,自由民主党,1,6
上富良野町,今津　ひろし,3854,自由民主党,1,6
中富良野町,今津　ひろし,1560,自由民主党,1,6
南富良野町,今津　ひろし,729,自由民主党,1,6
